channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH2101,N022,Neil Patel,https://www.youtube.com/@NeilPatel,1200000,2000,30000,Monologue,en,US,SEO and digital marketing strategies,2026-04-16,active
CH2102,N022,Brian Dean - Backlinko,https://www.youtube.com/channel/UCx7J37QuXsGL7QG6SMIpqKg,600000,100,200000,Monologue,en,US,Data-driven SEO strategies and link building,2026-04-16,active
CH2103,N022,Nathan Gotch,https://www.youtube.com/channel/UCNEsahyXxNJvYNsMhru-UzQ,300000,200,30000,Monologue,en,US,SEO practitioner teaching search optimization,2026-04-16,active
CH2104,N022,Adam Erhart,https://www.youtube.com/@adamerhart,500000,400,40000,Monologue,en,US,Digital marketing and content strategy,2026-04-16,active
CH2105,N022,Matt Diggity,https://www.youtube.com/channel/UCP5A5lVxaT7cO_LehpxjTZg,300000,300,30000,Monologue,en,US,SEO case studies and affiliate marketing,2026-04-16,active
CH2106,N022,Ahrefs,https://www.youtube.com/@AhrefsCom,500000,500,30000,Monologue/Screencast,en,SG,SEO tool tutorials and search marketing education,2026-04-16,active
CH2107,N022,Miles Beckler,https://www.youtube.com/channel/UC7RZRFCrN4XKoMsy5MgJKrg,200000,800,15000,Monologue,en,US,Content marketing and online business strategies,2026-04-16,active
CH2108,N022,Craig Campbell SEO,https://www.youtube.com/channel/UCPeOzstGV1FB0cGSBg2piDg,100000,300,10000,Monologue,en,UK,Practical SEO tips and strategies,2026-04-16,active
CH2109,N022,Surfside PPC,https://www.youtube.com/channel/UCEzSSbs3Wfe5p4dBzzjrjvw,150000,600,10000,Monologue/Screencast,en,US,PPC advertising tutorials Google and Facebook ads,2026-04-16,active
CH2110,N022,LYFE Marketing,https://www.youtube.com/channel/UCw4T39MvmTCmYoSdpB2Rwuw,300000,400,20000,Monologue,en,US,Social media marketing strategies for small biz,2026-04-16,active
CH2111,N022,Ranking Academy,https://www.youtube.com/channel/UCopSeO4OPWd5M9zzPhA6qpg,50000,200,8000,Monologue/Screencast,en,US,Step by step SEO ranking tutorials,2026-04-16,active
CH2112,N022,Authority Hacker,https://www.youtube.com/c/AuthorityHacker,200000,300,15000,Monologue/Podcast,en,US,Authority site building and SEO strategies,2026-04-16,active
CH2113,N022,Doug Cunnington,https://www.youtube.com/channel/UCFnt8WCRc5uHWx82W1LQgtg,80000,300,8000,Monologue,en,US,Niche site SEO and content marketing,2026-04-16,active
