channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH2801,N029,Think Media - Sean Cannell,https://www.youtube.com/@ThinkMedia,3000000,1000,100000,Monologue,en,US,YouTube gear strategy and growth tips,2026-04-16,active
CH2802,N029,vidIQ,https://www.youtube.com/@vidIQ,1500000,2000,30000,Monologue/Screencast,en,US,YouTube SEO and channel growth analytics,2026-04-16,active
CH2803,N029,TubeBuddy,https://www.youtube.com/@TubeBuddy,500000,500,10000,Monologue/Tutorial,en,US,YouTube optimization and AB testing tools,2026-04-16,active
CH2804,N029,Ali Abdaal (Creator),https://www.youtube.com/@aliabdaal,5500000,600,500000,Monologue,en,UK,Part time YouTuber academy and monetization,2026-04-16,active
CH2805,N029,Roberto Blake,https://www.youtube.com/@robertoblake,600000,1500,10000,Monologue,en,US,Create something awesome every day YouTube,2026-04-16,active
CH2806,N029,Derral Eves,https://www.youtube.com/@DerralEves,500000,300,20000,Monologue,en,US,YouTube algorithm and growth strategist,2026-04-16,active
CH2807,N029,Nick Nimmin,https://www.youtube.com/@NickNimmin,1000000,500,30000,Monologue,en,US,YouTube tips and channel growth strategies,2026-04-16,active
CH2808,N029,Paddy Galloway,https://www.youtube.com/@PaddyGalloway,200000,100,50000,Monologue,en,IE,YouTube strategy consultant and analyst,2026-04-16,active
CH2809,N029,Cathrin Manning (YouTube),https://www.youtube.com/@CathrinManning,500000,400,20000,Monologue,en,US,YouTube growth for small creators,2026-04-16,active
CH2810,N029,Sunny Lenarduzzi (YouTube),https://www.youtube.com/@SunnyLenarduzzi,600000,400,20000,Monologue,en,CA,YouTube for business and authority building,2026-04-16,active
CH2811,N029,Channel Makers,https://www.youtube.com/@ChannelMakers,500000,300,20000,Monologue,en,US,YouTube channel building strategies,2026-04-16,active
CH2812,N029,Film Booth,https://www.youtube.com/@FilmBooth,1000000,200,100000,Monologue,en,UK,YouTube cinematography and storytelling,2026-04-16,active
CH2813,N029,Colin and Samir,https://www.youtube.com/@ColinAndSamir,1500000,500,200000,Monologue/Interview,en,US,Creator economy analysis and interviews,2026-04-16,active
CH2814,N029,Matt Par (YouTube),https://www.youtube.com/@MattPar,500000,200,30000,Monologue,en,US,Multiple YouTube channels strategy,2026-04-16,active
