channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH6001,N061,Graham Stephan,https://www.youtube.com/@GrahamStephan,4500000,500,500000,Monologue,en,US,Housing market analysis and real estate investing,,active
CH6002,N061,Meet Kevin,https://www.youtube.com/@MeetKevin,1800000,2000,100000,Monologue,en,US,Macro economics and real estate market analysis,,active
CH6003,N061,BiggerPockets,https://www.youtube.com/@biggerpockets,1000000,2000,30000,Monologue/Interview,en,US,Real estate investing education and analysis,,active
CH6004,N061,Reventure Consulting,https://www.youtube.com/@ReventureConsulting,500000,500,100000,Monologue,en,US,Nick Gerli housing market data analysis,,active
CH6005,N061,Jason Walter Inside CRE,https://www.youtube.com/@JasonWalter,100000,200,10000,Monologue,en,US,Commercial real estate market analysis,,active
CH6006,N061,Ray Ellens Podcast,https://www.youtube.com/@RayEllensPodcast,50000,500,5000,Monologue,en,US,Longest running real estate news podcast,,active
CH6007,N061,Tom Ferry,https://www.youtube.com/@TomFerry,500000,1000,20000,Monologue,en,US,Real estate coaching and market strategies,,active
CH6008,N061,Ryan Serhant,https://www.youtube.com/@RyanSerhant,2000000,500,100000,Monologue,en,US,Luxury real estate and sales techniques,,active
CH6009,N061,Canadian Real Estate Channel,https://www.youtube.com/@CanadianRealEstate,100000,200,10000,Monologue,en,CA,Canadian housing market analysis,,active
CH6010,N061,this Week in Real Estate tWiRE,https://www.youtube.com/@tWiRE,50000,500,5000,Monologue,en,US,Weekly real estate market recap,,active
CH6011,N061,Real Estate Mindset,https://www.youtube.com/@RealEstateMindset,200000,300,10000,Monologue,en,US,Real estate investing mindset and market,,active
CH6012,N061,Living In Vancouver Real Estate,https://www.youtube.com/@LivingInVancouver,100000,200,10000,Monologue,en,CA,Vancouver real estate market,,active
CH6013,N061,Living in Boise Idaho,https://www.youtube.com/@LivingInBoise,50000,200,5000,Monologue,en,US,Boise real estate market analysis,,active
CH6014,N061,Keep It Real Estate,https://www.youtube.com/@KeepItRealEstate,50000,200,5000,Monologue,en,US,Real estate market reality checks,,active
CH6015,N061,Real Estate Rockstars Podcast,https://www.youtube.com/@RERockstars,50000,500,5000,Monologue/Interview,en,US,Real estate industry podcast,,active
CH6016,N061,Kevin Ward YESMasters,https://www.youtube.com/@KevinWardNOW,200000,500,10000,Monologue,en,US,Real estate agent market coaching,,active
CH6017,N061,Mike Ferry,https://www.youtube.com/@MikeFerryOrg,100000,500,5000,Monologue,en,US,Real estate sales and market coaching,,active
CH6018,N061,Real Estate Disruptors,https://www.youtube.com/@RealEstateDisruptors,50000,300,5000,Monologue/Interview,en,US,Disrupting real estate markets,,active
CH6019,N061,Phil Pustejovsky,https://www.youtube.com/@PhilPustejovsky,300000,300,30000,Monologue,en,US,Real estate investing and market tips,,active
CH6020,N061,Real Estate B-School,https://www.youtube.com/@RealEstateBSchool,30000,100,5000,Monologue,en,US,Real estate business school content,,active
CH6021,N061,Nevada Real Estate Group,https://www.youtube.com/@NevadaRE,30000,200,5000,Monologue,en,US,Nevada real estate market,,active
CH6022,N061,Marshall Reddick Real Estate,https://www.youtube.com/@MarshallReddick,30000,200,5000,Monologue,en,US,Real estate investment analysis,,active
CH6023,N061,Soomin Kim Austin Texas RE,https://www.youtube.com/@SoominKim,20000,100,5000,Monologue,en,US,Austin Texas real estate market,,active
CH6024,N061,Zak Schmidt Dallas Texas RE,https://www.youtube.com/@ZakSchmidt,20000,100,5000,Monologue,en,US,Dallas Texas real estate market,,active
CH6025,N061,Monica Church Seattle RE,https://www.youtube.com/@MonicaChurch,20000,100,5000,Monologue,en,US,Seattle real estate market,,active
CH6026,N061,Frederick Mitchell Atlanta RE,https://www.youtube.com/@FrederickMitchell,20000,100,5000,Monologue,en,US,Atlanta real estate market,,active
CH6027,N061,Mark McDonough Sacramento RE,https://www.youtube.com/@MarkMcDonough,20000,100,5000,Monologue,en,US,Sacramento real estate market,,active
CH6028,N061,Mike Drutar Hawaii RE,https://www.youtube.com/@MikeDrutar,20000,100,5000,Monologue,en,US,Hawaii real estate market,,active
CH6029,N061,Ty the Real Estate Guy Utah,https://www.youtube.com/@TyREGuy,20000,100,5000,Monologue,en,US,Utah real estate market,,active
CH6030,N061,Terrel Terrell Houston RE,https://www.youtube.com/@TerrelTerrell,20000,100,5000,Monologue,en,US,Houston real estate market,,active
CH6031,N061,Jon Flynn Real Estate,https://www.youtube.com/@JonFlynn,20000,100,5000,Monologue,en,CA,Canadian real estate market,,active
CH6032,N061,Bald Prairie Real Estate,https://www.youtube.com/@BaldPrairie,20000,100,5000,Monologue,en,CA,Prairie real estate market,,active
CH6033,N061,Real Estate Ninja,https://www.youtube.com/@RealEstateNinja,30000,100,5000,Monologue,en,US,Real estate market intelligence,,active
CH6034,N061,Andrew Mooers Maine RE,https://www.youtube.com/@AndrewMooers,20000,200,5000,Monologue,en,US,Maine real estate market,,active
CH6035,N061,Chester Cheng Real Estate,https://www.youtube.com/@ChesterCheng,20000,100,5000,Monologue,en,US,Real estate market education,,active
CH6036,N061,Real Estate in USA,https://www.youtube.com/@RealEstateInUSA,20000,100,5000,Monologue,en,US,US real estate market overview,,active
CH6037,N061,Reach Real Estate,https://www.youtube.com/@ReachRealEstate,20000,100,5000,Monologue,en,US,Real estate market reach,,active
