channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH2201,N023,Social Media Examiner,https://www.youtube.com/channel/UCS3lFRhXKfCZ8FvRqPjy9NA,300000,1000,10000,Monologue/Interview,en,US,Platform specific social media tactics and updates,2026-04-16,active
CH2202,N023,GaryVee - Gary Vaynerchuk,https://www.youtube.com/@garyvee,4500000,5000,100000,Monologue,en,US,Social media strategy and personal branding,2026-04-16,active
CH2203,N023,Vanessa Lau,https://www.youtube.com/@VanessaLau,600000,300,30000,Monologue,en,CA,Instagram and social media marketing coaching,2026-04-16,active
CH2204,N023,Adam Erhart,https://www.youtube.com/@adamerhart,500000,400,40000,Monologue,en,US,Social media marketing and business strategy,2026-04-16,active
CH2205,N023,HubSpot Marketing,https://www.youtube.com/@HubSpotMarketing,300000,1000,10000,Monologue/Tutorial,en,US,Inbound social media and content marketing,2026-04-16,active
CH2206,N023,Neil Patel,https://www.youtube.com/@NeilPatel,1200000,2000,30000,Monologue,en,US,Digital marketing including social media,2026-04-16,active
CH2207,N023,Semrush,https://www.youtube.com/@semrush,200000,800,10000,Monologue/Tutorial,en,US,Social media marketing tools and strategies,2026-04-16,active
CH2208,N023,LYFE Marketing,https://www.youtube.com/channel/UCw4T39MvmTCmYoSdpB2Rwuw,300000,400,20000,Monologue,en,US,Social media marketing for small businesses,2026-04-16,active
CH2209,N023,Hootsuite,https://www.youtube.com/@hootsuite,200000,500,8000,Monologue/Tutorial,en,CA,Social media management platform education,2026-04-16,active
CH2210,N023,Later,https://www.youtube.com/@LaterMedia,100000,500,5000,Monologue/Tutorial,en,CA,Instagram and social scheduling strategies,2026-04-16,active
CH2211,N023,Sprout Social,https://www.youtube.com/@SproutSocial,30000,300,3000,Monologue/Tutorial,en,US,Enterprise social media management,2026-04-16,active
CH2212,N023,Buffer,https://www.youtube.com/@Buffer,50000,200,3000,Monologue,en,US,Social media management and marketing tips,2026-04-16,active
CH2213,N023,Cereal Entrepreneur - Jordan Steen,https://www.youtube.com/channel/UCWN-rPSim-zOSUkxOIg7lIw,80000,400,5000,Monologue,en,US,Starting a social media marketing agency,2026-04-16,active
CH2214,N023,Billy Gene Is Marketing,https://www.youtube.com/channel/UC0AJswvQGeCz03PCyFF5bPQ,200000,300,15000,Monologue,en,US,Social media advertising and creative marketing,2026-04-16,active
CH2215,N023,Aaron Ward,https://www.youtube.com/channel/UCvngKfpL3Tb-9fEDv2c91LA,30000,200,3000,Monologue,en,US,Social media marketing strategies and tactics,2026-04-16,active
CH2216,N023,Andrew Macarthy,https://www.youtube.com/channel/UCN9oBuFxCzFKa1qVHYpf59g,30000,200,3000,Monologue,en,UK,500 Social Media Marketing Tips author,2026-04-16,active
CH2217,N023,Todd And Leah Rae,https://www.youtube.com/channel/UCXcvJzx78bmglfsCQXHz2aA,40000,300,3000,Monologue,en,US,Network marketing and social media,2026-04-16,active
CH2218,N023,Ryan Hildreth,https://www.youtube.com/channel/UCmHkBmVjwPbtsa2jJhDc-Dw,300000,300,20000,Monologue,en,US,Social media marketing and making money online,2026-04-16,active
CH2219,N023,Billy Willson,https://www.youtube.com/channel/UCPAYStBK8Syx4dh7PluYt2w,30000,100,5000,Monologue,en,US,Social media growth and marketing hacks,2026-04-16,active
CH2220,N023,Ollie Chapman,https://www.youtube.com/channel/UCCvgyW9ZgDQt2TnlJ7h2u2Q,20000,100,3000,Monologue,en,UK,Social media agency building,2026-04-16,active
CH2221,N023,Social Media Worldwide,https://www.youtube.com/channel/UCAA6w-5QDSmlrs2SBa_Yz4Q,10000,100,2000,Monologue,en,US,Global social media marketing trends,2026-04-16,active
CH2222,N023,Shailesh Panchal,https://www.youtube.com/channel/UCM6n0n8UC9Jl8vuLKb199ZA,20000,200,2000,Monologue,en,IN,Indian social media marketing education,2026-04-16,active
CH2223,N023,Social Media Marketing Tips,https://www.youtube.com/channel/UCqt12spfnYMu-eL12-AlV5w,10000,100,2000,Monologue,en,US,Quick social media marketing tips,2026-04-16,active
CH2224,N023,Camila Fontes - Social Media,https://www.youtube.com/channel/UCEMbG_0tStrdlDwQiRIzAEA,8000,50,2000,Monologue,en,BR,Social media marketing for creators,2026-04-16,active
CH2225,N023,Sue Koch Social Media,https://www.youtube.com/channel/UCRiPNB_7jiPVKhLj0PZ3HIQ,5000,50,1500,Monologue,en,US,Social media success catalyst and strategy,2026-04-16,active
CH2226,N023,LinkedIn Marketing Solutions,https://www.youtube.com/channel/UCxihoi9C4o-WWEDEsYIAv8Q,50000,200,3000,Monologue/Tutorial,en,US,LinkedIn advertising and B2B social marketing,2026-04-16,active
CH2227,N023,Elise Darma,https://www.youtube.com/@EliseDarma,300000,200,15000,Monologue,en,CA,Instagram marketing and reels strategy,2026-04-16,active
CH2228,N023,Jade Darmawangsa,https://www.youtube.com/@JadeDarmawangsa,500000,200,30000,Monologue,en,US,Instagram and TikTok growth strategies,2026-04-16,active
CH2229,N023,Natasha Samuel - Shine With Natasha,https://www.youtube.com/@ShineWithNatasha,100000,200,8000,Monologue,en,US,Instagram strategy and social media tips,2026-04-16,active
CH2230,N023,Kat Norton - Miss Excel,https://www.youtube.com/@MissExcel,500000,200,50000,Monologue,en,US,Social media content creation for personal brands,2026-04-16,active
CH2231,N023,Rachel Pedersen,https://www.youtube.com/@RachelPedersen,300000,300,15000,Monologue,en,US,Social media marketing queen and strategy,2026-04-16,active
CH2232,N023,Latasha James,https://www.youtube.com/@LatashajamesTV,200000,300,10000,Monologue,en,US,Social media management freelancing,2026-04-16,active
CH2233,N023,Marissa Romero,https://www.youtube.com/@MarissaRomero,200000,200,15000,Monologue,en,US,Social media management agency building,2026-04-16,active
CH2234,N023,Brock Johnson,https://www.youtube.com/@BrockJohnson,200000,200,15000,Monologue,en,US,Instagram growth and reels marketing,2026-04-16,active
CH2235,N023,Ste Davies,https://www.youtube.com/@SteDavies,30000,100,3000,Monologue,en,UK,Social media strategy and digital culture,2026-04-16,active
CH2236,N023,Zach King (Marketing Strategy),https://www.youtube.com/@ZachKing,25000000,300,5000000,Monologue/Creative,en,US,Viral social media content creation master,2026-04-16,active
CH2237,N023,Derral Eves,https://www.youtube.com/@DerralEves,500000,300,20000,Monologue,en,US,Social media and YouTube growth expert,2026-04-16,active
CH2238,N023,NapoleonCat,https://www.youtube.com/@NapoleonCat,10000,100,2000,Monologue/Tutorial,en,PL,Social media analytics and management tool,2026-04-16,active
CH2239,N023,Tailwind,https://www.youtube.com/@Tailwind,50000,300,3000,Monologue/Tutorial,en,US,Pinterest and Instagram marketing tools,2026-04-16,active
CH2240,N023,Sunny Lenarduzzi,https://www.youtube.com/@SunnyLenarduzzi,600000,400,20000,Monologue,en,CA,Social media authority and brand building,2026-04-16,active
CH2241,N023,Stephanie Kase,https://www.youtube.com/@StephanieKase,100000,200,8000,Monologue,en,US,Instagram and Pinterest marketing strategy,2026-04-16,active
CH2242,N023,Amanda Bond - The Ad Strategist,https://www.youtube.com/@AmandaBond,50000,100,5000,Monologue,en,CA,Facebook and Instagram ads strategy,2026-04-16,active
CH2243,N023,Kat Sullivan - Marketing Solved,https://www.youtube.com/@MarketingSolved,50000,200,3000,Monologue,en,US,Social media marketing solutions,2026-04-16,active
CH2244,N023,Amy Porterfield,https://www.youtube.com/@AmyPorterfield,300000,500,10000,Monologue,en,US,Digital marketing and social media courses,2026-04-16,active
CH2245,N023,Jenna Kutcher,https://www.youtube.com/@JennaKutcher,200000,200,15000,Monologue,en,US,Social media marketing and online business,2026-04-16,active
CH2246,N023,Mike Yan - Social Bee,https://www.youtube.com/@SocialBee,30000,200,2000,Monologue/Tutorial,en,RO,Social media scheduling and management,2026-04-16,active
CH2247,N023,Andrew Hubbard,https://www.youtube.com/@AndrewHubbard,20000,100,3000,Monologue,en,AU,Facebook and Instagram advertising,2026-04-16,active
CH2248,N023,Sked Social,https://www.youtube.com/@SkedSocial,10000,100,2000,Monologue/Tutorial,en,AU,Instagram scheduling and management,2026-04-16,active
CH2249,N023,Agorapulse,https://www.youtube.com/@Agorapulse,30000,300,2000,Monologue/Tutorial,en,FR,Social media management platform education,2026-04-16,active
CH2250,N023,Socialinsider,https://www.youtube.com/@Socialinsider,10000,100,2000,Monologue,en,RO,Social media analytics and benchmarking,2026-04-16,active
CH2251,N023,Social Media College,https://www.youtube.com/@SocialMediaCollege,10000,100,2000,Monologue/Lecture,en,AU,Social media marketing education,2026-04-16,active
CH2252,N023,Digital Pratik,https://www.youtube.com/@DigitalPratik,300000,500,15000,Monologue,en,IN,Indian social media and digital marketing,2026-04-16,active
CH2253,N023,Simplilearn Digital Marketing,https://www.youtube.com/@SimplilearnOfficial,3000000,5000,20000,Monologue/Tutorial,en,IN,Digital and social media marketing courses,2026-04-16,active
CH2254,N023,Digital Marketing Institute,https://www.youtube.com/@DigitalMarketingInstitute,200000,500,5000,Monologue/Lecture,en,IE,Certified digital marketing education,2026-04-16,active
CH2255,N023,SocialMediaMinute - Jan Rezab,https://www.youtube.com/channel/UCCAg0pGh47apFzefcJN6x3w,5000,50,1500,Monologue,en,CZ,Quick social media marketing insights,2026-04-16,active
CH2256,N023,Kandis Jones - Social Media Tips,https://www.youtube.com/@KandisJones,50000,200,3000,Monologue,en,US,Social media tips for businesses,2026-04-16,active
CH2257,N023,Kate Buck Jr,https://www.youtube.com/@KateBuckJr,20000,100,2000,Monologue,en,US,Social media strategy and content creation,2026-04-16,active
