channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH4401,N045,Einzelganger,https://www.youtube.com/@Einzelganger,2000000,200,200000,Monologue,en,NL,Applied Stoicism Buddhism Taoism and philosophy for modern life,2026-04-16,active
CH4402,N045,Daily Stoic,https://www.youtube.com/@DailyStoic,1500000,500,50000,Monologue,en,US,Ryan Holiday - daily Stoic wisdom exercises and practical advice,2026-04-16,active
CH4403,N045,Academy of Ideas,https://www.youtube.com/@AcademyofIdeas,1500000,200,200000,Monologue,en,US,Animated philosophical and psychological essays for self-mastery,2026-04-16,active
CH4404,N045,The School of Life (philosophy),https://www.youtube.com/@TheSchoolofLife,9000000,1000,200000,Monologue,en,GB,Applied philosophy psychology and emotional education,2026-04-16,active
CH4405,N045,Philosophy Tube,https://www.youtube.com/@PhilosophyTube,1500000,200,200000,Monologue,en,GB,Abigail Thorn - philosophy applied to modern life and politics,2026-04-16,active
CH4406,N045,Jordan B Peterson (philosophy),https://www.youtube.com/@JordanBPeterson,7000000,500,200000,Monologue,en,CA,Psychology professor applying philosophy to meaning and order,2026-04-16,active
CH4407,N045,Everyday Stoic,https://www.youtube.com/@EverydayStoic,100000,200,5000,Monologue,en,US,Daily Stoic philosophy applied to everyday challenges,2026-04-16,active
CH4408,N045,Modern Stoicism,https://www.youtube.com/@ModernStoicism,50000,100,3000,Monologue,en,US,Academic modern Stoic philosophy and practice,2026-04-16,active
CH4409,N045,Donald Robertson (Stoicism),https://www.youtube.com/@DonaldRobertson,20000,50,2000,Monologue,en,GB,CBT therapist and Stoic philosophy author and educator,2026-04-16,active
CH4410,N045,StoicDan,https://www.youtube.com/@StoicDan,30000,80,3000,Monologue,en,US,Practical Stoic philosophy applied to daily life,2026-04-16,active
CH4411,N045,Vox Stoica,https://www.youtube.com/@VoxStoica,50000,80,5000,Monologue,en,US,Voice of Stoic philosophy readings and commentary,2026-04-16,active
CH4412,N045,Personal Power (Stoicism),https://www.youtube.com/@PersonalPower,100000,200,5000,Monologue,en,DE,Stoicism and philosophy for personal empowerment,2026-04-16,active
CH4413,N045,Massimo Pigliucci,https://www.youtube.com/@MassimoPigliucci,19000,100,2000,Monologue,en,US,CUNY professor - academic Stoic philosophy lectures,2026-04-16,active
CH4414,N045,The New Stoics,https://www.youtube.com/@TheNewStoics,20000,50,2000,Monologue,en,US,New generation Stoic philosophy discussion and practice,2026-04-16,active
CH4415,N045,Three Stoics,https://www.youtube.com/@ThreeStoics,20000,50,2000,Monologue,en,US,Three practitioners discussing applied Stoic philosophy,2026-04-16,active
CH4416,N045,TheStoicLife,https://www.youtube.com/@TheStoicLife,17000,50,2000,Monologue,en,GB,Stoic quotes and wisdom for daily resilience,2026-04-16,active
CH4417,N045,Practical Philosophy,https://www.youtube.com/@PracticalPhilosophy,100000,100,10000,Monologue,en,US,Animated lessons translating philosophy into everyday practice,2026-04-16,active
CH4418,N045,Gregory B. Sadler,https://www.youtube.com/@GregoryBSadler,200000,2000,3000,Monologue,en,US,Philosophy professor with extensive lectures on Stoicism and ethics,2026-04-16,active
CH4419,N045,Inspiring Philosophy,https://www.youtube.com/@InspiringPhilosophy,500000,300,20000,Monologue,en,US,Philosophical explorations and applied wisdom education,2026-04-16,active
CH4420,N045,Philosophy Vibe,https://www.youtube.com/@PhilosophyVibe,100000,100,10000,Monologue,en,US,Philosophy vibes and wisdom for modern application,2026-04-16,active
CH4421,N045,Philosophy Insights,https://www.youtube.com/@PhilosophyInsights,80000,100,8000,Monologue,en,US,Insights from great philosophers applied to modern life,2026-04-16,active
CH4422,N045,Carneades.org,https://www.youtube.com/@Carneades,100000,500,3000,Monologue,en,US,Philosophy education covering ethics and ancient wisdom,2026-04-16,active
CH4423,N045,Philosophy Talk,https://www.youtube.com/@PhilosophyTalk,50000,200,2000,Monologue,en,US,Radio show and podcast on applied philosophical topics,2026-04-16,active
CH4424,N045,Kevin deLaplante,https://www.youtube.com/@KevinDeLaplante,100000,200,3000,Monologue,en,US,Critical thinking and philosophical reasoning education,2026-04-16,active
CH4425,N045,Kane B,https://www.youtube.com/@KaneB,100000,300,3000,Monologue,en,GB,Analytical philosophy and metaphysics education,2026-04-16,active
CH4426,N045,60 Second Philosophy,https://www.youtube.com/@60SecondPhilosophy,50000,100,5000,Monologue,en,US,Quick philosophical wisdom in 60-second format,2026-04-16,active
