channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH1901,N020,GaryVee - Gary Vaynerchuk,https://www.youtube.com/@garyvee,4500000,5000,100000,Monologue,en,US,Branding entrepreneurship and social media advice,2026-04-16,active
CH1902,N020,My First Million - Sam Parr & Shaan Puri,https://www.youtube.com/@MyFirstMillionPod,1000000,800,100000,Monologue/Podcast,en,US,Business ideas and startup stories discussion,2026-04-16,active
CH1903,N020,The Diary of a CEO - Steven Bartlett,https://www.youtube.com/@TheDiaryOfACEO,9000000,500,1000000,Interview/Monologue,en,UK,Candid interviews with entrepreneurs and leaders,2026-04-16,active
CH1904,N020,Y Combinator,https://www.youtube.com/@ycombinator,1500000,800,50000,Monologue/Lecture,en,US,Startup advice from the top accelerator,2026-04-16,active
CH1905,N020,Tim Ferriss,https://www.youtube.com/@timferriss,900000,400,50000,Monologue/Interview,en,US,Productivity hacks and business advice,2026-04-16,active
CH1906,N020,This Week in Startups - Jason Calacanis,https://www.youtube.com/@TWiStartups,500000,2000,20000,Monologue/Interview,en,US,Unfiltered startup world discussions and analysis,2026-04-16,active
CH1907,N020,Alex Hormozi,https://www.youtube.com/@AlexHormozi,3500000,600,500000,Monologue,en,US,Business scaling strategies and offer creation,2026-04-16,active
CH1908,N020,Noah Kagan,https://www.youtube.com/@noahkagan,900000,600,100000,Monologue,en,US,AppSumo founder sharing startup experiments,2026-04-16,active
CH1909,N020,Pat Flynn - Smart Passive Income,https://www.youtube.com/@patflynn,900000,800,30000,Monologue,en,US,Online business and passive income strategies,2026-04-16,active
CH1910,N020,Ali Abdaal,https://www.youtube.com/@aliabdaal,5500000,600,500000,Monologue,en,UK,Productivity and business building as a creator,2026-04-16,active
CH1911,N020,Valuetainment - Patrick Bet-David,https://www.youtube.com/@ValuetainmentChannel,5000000,4000,200000,Monologue/Interview,en,US,Entrepreneurship strategy and business breakdowns,2026-04-16,active
CH1912,N020,Slidebean,https://www.youtube.com/channel/UC4bq21IPPbpu0Qrsl7LW0sw,1200000,400,150000,Monologue/Screencast,en,US,Startup pitch decks company stories and analysis,2026-04-16,active
CH1913,N020,Startup Grind,https://www.youtube.com/channel/UCwB3HiWejAkml1UZ0Qo2bFg,300000,2000,10000,Interview/Monologue,en,US,Global community of entrepreneurs with real stories,2026-04-16,active
CH1914,N020,Entrepreneur,https://www.youtube.com/channel/UCNFGSWVOdVWEe9XJNnfTdyQ,800000,3000,15000,Monologue/Interview,en,US,Entrepreneur magazine official channel with business advice,2026-04-16,active
CH1915,N020,Simon Squibb,https://www.youtube.com/channel/UCGznz4NfW5iymkvn1l40qyA,2500000,500,300000,Monologue,en,UK,Serial entrepreneur giving free startup advice,2026-04-16,active
CH1916,N020,Techstars,https://www.youtube.com/channel/UClebMzrpRNTWVfZXw2jfsSw,80000,800,5000,Monologue/Lecture,en,US,Accelerator program startup education content,2026-04-16,active
CH1917,N020,Google for Startups,https://www.youtube.com/channel/UCkWLGZL69LhjjgGRKhcAE_w,120000,400,8000,Monologue/Panel,en,US,Google backed startup resources and founder stories,2026-04-16,active
CH1918,N020,500 Global (500 Startups),https://www.youtube.com/channel/UCsFOY-wGT9IOC4Okrq6UBfA,90000,600,5000,Monologue/Lecture,en,US,VC backed startup education and pitch events,2026-04-16,active
CH1919,N020,Stanford Graduate School of Business,https://www.youtube.com/@stanfordgsb,1000000,2000,30000,Lecture/Monologue,en,US,Business and entrepreneurship lectures from Stanford,2026-04-16,active
CH1920,N020,Masters of Scale - Reid Hoffman,https://www.youtube.com/@mastersofscale,150000,300,20000,Interview/Monologue,en,US,Scaling narratives and counterintuitive leadership lessons,2026-04-16,active
CH1921,N020,How I Built This - Guy Raz,https://www.youtube.com/@HowIBuiltThis,200000,300,30000,Interview/Monologue,en,US,NPR podcast about founders building companies,2026-04-16,active
CH1922,N020,Lean Startup Co.,https://www.youtube.com/channel/UCijWiOHJnPfVp_JW2p9fYSg,50000,200,8000,Monologue/Lecture,en,US,Eric Ries lean startup methodology content,2026-04-16,active
CH1923,N020,Foundr,https://www.youtube.com/@foundr,300000,500,20000,Monologue/Interview,en,AU,Magazine for young entrepreneurs and startup founders,2026-04-16,active
CH1924,N020,Shark Tank Global,https://www.youtube.com/channel/UCREgA-BmOocJ9Is_bZV6aJQ,5000000,3000,200000,Interview/Pitch,en,US,Business pitch show clips and entrepreneurship lessons,2026-04-16,active
