channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH3701,N038,Doctor Mike,https://www.youtube.com/@DoctorMike,13900000,800,2000000,Monologue,en,US,Family medicine DO - medical myths reactions and health education,2026-04-16,active
CH3702,N038,Dr. Eric Berg DC,https://www.youtube.com/@DrEricBergDC,13000000,5000,500000,Monologue,en,US,Health educator explaining medical conditions and natural solutions,2026-04-16,active
CH3703,N038,Mama Doctor Jones,https://www.youtube.com/@MamaDoctorJones,1500000,400,200000,Monologue,en,US,OB-GYN doctor explaining pregnancy birth and womens health,2026-04-16,active
CH3704,N038,Medlife Crisis,https://www.youtube.com/@MedlifeCrisis,1500000,200,300000,Monologue,en,GB,Cardiologist and researcher making science videos with humor,2026-04-16,active
CH3705,N038,Mark Hyman MD,https://www.youtube.com/@MarkHymanMD,1500000,1500,80000,Monologue,en,US,Functional medicine doctor explaining health conditions,2026-04-16,active
CH3706,N038,Dr. Hope Sick Notes,https://www.youtube.com/@DrHopesSickNotes,500000,200,50000,Monologue,en,GB,Emergency medicine doctor reacting to medical TV and movie scenes,2026-04-16,active
CH3707,N038,Rena Malik MD,https://www.youtube.com/@RenaMalikMD,1000000,300,100000,Monologue,en,US,Urologist explaining urological and sexual health conditions,2026-04-16,active
CH3708,N038,Doctor Youn,https://www.youtube.com/@DoctorYoun,1500000,500,100000,Monologue,en,US,Plastic surgeon - holistic beauty and medical commentary,2026-04-16,active
CH3709,N038,Doctor ER,https://www.youtube.com/@DoctorER,500000,200,50000,Monologue,en,US,Emergency room doctor explaining ER cases and medical education,2026-04-16,active
CH3710,N038,Kevin Jubbal MD (Med School Insiders),https://www.youtube.com/@MedSchoolInsiders,1400000,300,100000,Monologue,en,US,Doctor explaining medical careers and health education,2026-04-16,active
CH3711,N038,Talking With Docs,https://www.youtube.com/@TalkingWithDocs,500000,500,30000,Monologue,en,CA,Two Canadian doctors explaining medical topics casually,2026-04-16,active
CH3712,N038,Doctor Eye Health,https://www.youtube.com/@DoctorEyeHealth,1000000,300,80000,Monologue,en,US,Optometrist explaining eye health and vision conditions,2026-04-16,active
CH3713,N038,Dr. Andrea Furlan,https://www.youtube.com/@DrAndreaFurlan,500000,300,30000,Monologue,en,CA,Pain specialist explaining chronic pain and treatment options,2026-04-16,active
