niche_id,domain,niche,sub_niche,format_type,avg_cpm_usd,difficulty,persona_potential,description
N001,Finance & Investing,Personal Finance,Budgeting & Saving,Monologue,15-22,High,Very High,Creators sharing budgeting frameworks and saving strategies
N002,Finance & Investing,Personal Finance,Credit & Debt Management,Monologue,15-22,High,Very High,Experts explaining credit scores and debt payoff strategies
N003,Finance & Investing,Investing,Stock Market Analysis,Monologue,18-25,High,Very High,Solo analysts breaking down stock picks and market trends
N004,Finance & Investing,Investing,Dividend Investing & Passive Income,Monologue,16-22,Medium,Very High,Creators teaching dividend portfolio strategies
N005,Finance & Investing,Investing,Real Estate Investing,Monologue,12-18,Medium,Very High,Real estate investors sharing deal analysis and strategies
N006,Finance & Investing,Crypto & Web3,Crypto Analysis & Updates,Monologue,10-16,Medium,High,Solo crypto analysts providing market commentary
N007,Finance & Investing,Crypto & Web3,DeFi & Blockchain Education,Monologue,10-16,Medium,High,Educators explaining DeFi protocols and blockchain tech
N008,Finance & Investing,Tax & Accounting,Tax Strategy & Planning,Monologue,18-30,Low,Very High,CPAs and tax pros sharing tax optimization strategies
N009,Technology & AI,Artificial Intelligence,AI Tools & Tutorials,Monologue,15-25,Medium,Very High,Creators demoing and teaching AI tools
N010,Technology & AI,Artificial Intelligence,AI News & Commentary,Monologue,15-25,High,Very High,Solo commentators analyzing AI industry developments
N011,Technology & AI,Artificial Intelligence,Machine Learning Education,Monologue,15-25,Low,Very High,Educators teaching ML concepts and implementations
N012,Technology & AI,Software Development,Programming Tutorials,Monologue/Screencast,12-20,High,Very High,Developers teaching coding through talking-head + screen
N013,Technology & AI,Software Development,System Design & Architecture,Monologue,15-22,Low,Very High,Engineers explaining system design concepts
N014,Technology & AI,Software Development,Web Development,Monologue/Screencast,12-18,High,High,Full-stack developers teaching web technologies
N015,Technology & AI,Software Development,DevOps & Cloud,Monologue/Screencast,15-22,Low,Very High,Cloud engineers teaching AWS/GCP/Azure and DevOps
N016,Technology & AI,Cybersecurity,Security Education & News,Monologue,15-25,Low,Very High,Security professionals sharing threat analysis and education
N017,Technology & AI,Data Science,Data Analytics & Visualization,Monologue/Screencast,12-20,Low,High,Data scientists teaching analytics and tools
N018,Technology & AI,Tech Reviews,Consumer Tech Analysis,Monologue,12-18,High,High,Solo reviewers giving deep tech product analysis
