channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH1801,N019,Buildcamp - Gregory John,https://www.youtube.com/@Buildcamp/,50000,200,5000,Monologue/Screencast,en,US,Bubble.io no-code app building education,2026-04-16,active
CH1802,N019,No Code MBA,https://www.youtube.com/@NoCodeMBA/,30000,100,5000,Monologue/Screencast,en,US,No-code education for building apps and websites,2026-04-16,active
CH1803,N019,Webflow,https://www.youtube.com/@Webflow/,300000,500,15000,Monologue/Screencast,en,US,Official Webflow platform tutorials,2026-04-16,active
CH1804,N019,FlutterFlow,https://www.youtube.com/@FlutterFlow/,100000,400,10000,Monologue/Screencast,en,US,Official FlutterFlow no-code app builder tutorials,2026-04-16,active
CH1805,N019,Bubble.io,https://www.youtube.com/@Bubbleio/,80000,300,8000,Monologue/Screencast,en,US,Official Bubble.io no-code platform tutorials,2026-04-16,active
CH1806,N019,Zapier,https://www.youtube.com/@Zapier/,100000,300,10000,Monologue/Screencast,en,US,Official Zapier automation tutorials,2026-04-16,active
CH1807,N019,Airtable,https://www.youtube.com/@Airtable/,50000,200,5000,Monologue/Screencast,en,US,Official Airtable database tutorials,2026-04-16,active
CH1808,N019,Thomas Frank,https://www.youtube.com/@ThomasFrank/,3000000,300,200000,Monologue/Screencast,en,US,Notion productivity and no-code automation,2026-04-16,active
CH1809,N019,Thomas Frank Explains,https://www.youtube.com/@ThomasFrankExplains/,500000,150,50000,Monologue/Screencast,en,US,Notion tutorials and templates deep dives,2026-04-16,active
CH1810,N019,Geovany,https://www.youtube.com/@Geovany/,20000,80,3000,Monologue/Screencast,en,US,No-code web apps with WeWeb and Supabase,2026-04-16,active
CH1811,N019,Digitiz - Loïc Frissard,https://www.youtube.com/@Digitiz/,30000,100,3000,Monologue/Screencast,en,FR,No-code business tools and tutorials,2026-04-16,active
CH1812,N019,Adrian - Upstack Studio,https://www.youtube.com/@UpstackStudio/,30000,80,5000,Monologue/Screencast,en,MY,No-code app development for entrepreneurs,2026-04-16,active
CH1813,N019,Connor Finlayson,https://www.youtube.com/@ConnorFinlayson/,30000,100,3000,Monologue/Screencast,en,NZ,No-code website and automation tutorials,2026-04-16,active
