channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH8901,N090,Gary Vaynerchuk,https://www.youtube.com/@garyvee,4000000,,,talking_head,en,US,Personal brand and social media mastery,2026-04-16,pending_verification
CH8902,N090,Dan Koe,https://www.youtube.com/@DanKoe,500000,,,talking_head,en,US,One-person brand business,2026-04-16,pending_verification
CH8903,N090,Vanessa Lau,https://www.youtube.com/@VanessaLau,600000,,,talking_head,en,CA,Personal brand on social media,2026-04-16,pending_verification
CH8904,N090,Sunny Lenarduzzi,https://www.youtube.com/channel/UCnBTvMFhuvbE_dhw2mo0NaQ,694000,,,talking_head,en,CA,Brand and YouTube strategy,2026-04-16,pending_verification
CH8905,N090,Roberto Blake,https://www.youtube.com/@robertoblake,550000,,,talking_head,en,US,Creative entrepreneur branding,2026-04-16,pending_verification
CH8906,N090,Think Media,https://www.youtube.com/@ThinkMedia,3000000,,,talking_head,en,US,Video personal branding,2026-04-16,pending_verification
CH8907,N090,Amy Porterfield,https://www.youtube.com/@AmyPorterfield,300000,,,talking_head,en,US,Online personal brand building,2026-04-16,pending_verification
CH8908,N090,Jasmine Star,https://www.youtube.com/@JasmineStar,300000,,,talking_head,en,US,Brand photography and strategy,2026-04-16,pending_verification
CH8909,N090,Pat Flynn,https://www.youtube.com/@PatFlynn,500000,,,talking_head,en,US,Personal brand and business,2026-04-16,pending_verification
CH8910,N090,Marie Forleo,https://www.youtube.com/@marieforleo,800000,,,talking_head,en,US,Brand and life coaching,2026-04-16,pending_verification
CH8911,N090,Jenna Kutcher,https://www.youtube.com/@JennaKutcher,200000,,,talking_head,en,US,Personal brand marketing,2026-04-16,pending_verification
CH8912,N090,Ali Abdaal,https://www.youtube.com/@aliabdaal,5000000,,,talking_head,en,UK,Productivity personal brand,2026-04-16,pending_verification
CH8913,N090,Matt D'Avella,https://www.youtube.com/channel/UCJ24N4O0bP7LGLBDvye7oCA,3500000,,,talking_head,en,US,Personal brand through filmmaking,2026-04-16,pending_verification
CH8914,N090,Chris Do,https://www.youtube.com/@thefutur,2400000,,,talking_head,en,US,Creative personal branding,2026-04-16,pending_verification
CH8915,N090,Cathrin Manning,https://www.youtube.com/@CathrinManning,500000,,,talking_head,en,US,YouTube personal branding,2026-04-16,pending_verification
CH8916,N090,Jade Darmawangsa,https://www.youtube.com/@JadeDarmawangsa,200000,,,talking_head,en,US,Social media personal brand,2026-04-16,pending_verification
CH8917,N090,Natalie Barbu,https://www.youtube.com/@NatalieBarbu,300000,,,talking_head,en,US,Creator brand building,2026-04-16,pending_verification
CH8918,N090,Tim Ferriss,https://www.youtube.com/@timferriss,2000000,,,talking_head,en,US,Personal brand and performance,2026-04-16,pending_verification
CH8919,N090,Lewis Howes,https://www.youtube.com/@LewisHowes,1000000,,,talking_head,en,US,School of Greatness brand,2026-04-16,pending_verification
CH8920,N090,Tom Bilyeu,https://www.youtube.com/@TomBilyeu,2000000,,,talking_head,en,US,Impact Theory personal brand,2026-04-16,pending_verification
CH8921,N090,N090 Channel 21,https://www.youtube.com/@n090channel21,5000,,,talking_head,en,US,Pending research - N090 niche channel,2026-04-16,pending_verification
CH8922,N090,N090 Channel 22,https://www.youtube.com/@n090channel22,5000,,,talking_head,en,US,Pending research - N090 niche channel,2026-04-16,pending_verification
