channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH001,N001,Graham Stephan,https://www.youtube.com/@GrahamStephan,4500000,900,500000,Monologue,en,US,Real estate investing and personal finance education,,active
CH002,N001,Minority Mindset - Jaspreet Singh,https://www.youtube.com/minoritymindset/,1800000,900,150000,Monologue,en,US,Personal finance and wealth building strategies,,active
CH003,N001,WhiteBoard Finance - Marko,https://www.youtube.com/@WhiteBoardFinance/,1200000,500,100000,Monologue/Whiteboard,en,US,Whiteboard-style personal finance and investing education,,active
CH004,N001,Andrei Jikh,https://www.youtube.com/@AndreiJikh/,2100000,400,300000,Monologue,en,US,Investing and personal finance with visual flair,,active
CH005,N001,Nick True - MappedOutMoney,https://www.youtube.com/@mappedoutmoney/,350000,200,80000,Monologue/Screencast,en,US,Budgeting education focused on YNAB and tools,,active
CH006,N001,Rachel Cruze,https://www.youtube.com/channel/UCt59W0ScV709iwy2h-oiulQ/,800000,500,60000,Monologue,en,US,Budgeting and debt-free living education,,active
CH007,N001,The Financial Diet,https://www.youtube.com/@TheFinancialDiet/,900000,800,100000,Monologue,en,US,Women-focused personal finance and money education,,active
CH008,N001,Two Cents (PBS),https://www.youtube.com/@TwoCentsPBS/,817000,200,200000,Monologue,en,US,Clear practical advice on credit cards and money basics,,active
CH009,N001,Patrick Boyle,https://www.youtube.com/channel/UCASM0cgfkJxQ1ICmRilfHLw/,1000000,300,200000,Monologue,en,UK,Financial markets analysis and economics commentary,,active
CH010,N001,Financial Education - Jeremy,https://www.youtube.com/channel/UCnMn36GT_H0X-w5_ckLtlgQ/,1200000,900,100000,Monologue,en,US,Stock market investing education and financial literacy,,active
CH011,N003,The Swedish Investor,https://www.youtube.com/@TheSwedishInvestor/,500000,200,150000,Monologue/Animation,en,SE,Value investing book summaries and analysis,,active
CH012,N003,Learn to Invest - Jimmy,https://www.youtube.com/@LearntoInvest/,400000,200,80000,Monologue,en,AU,Value investing education and stock analysis,,active
CH013,N003,Cameron Stewart CFA,https://www.youtube.com/@CameronStewartCFA/,200000,300,40000,Monologue,en,US,CFA-level stock analysis with DCF valuations,,active
CH014,N003,Sven Carlin PhD,https://www.youtube.com/@SvenCarlin/,300000,500,30000,Monologue,en,EU,Value investing and European stock analysis,,active
CH015,N003,Joseph Carlson,https://www.youtube.com/@JosephCarlsonShow/,500000,400,100000,Monologue,en,US,Dividend investing portfolio tracking and analysis,,active
CH016,N003,Ryan Scribner,https://www.youtube.com/channel/UC3mjMoJuFnjYRBLon_6njbQ/,750000,700,60000,Monologue,en,US,Stock market education and investing for beginners,,active
CH017,N003,Ricky Gutierrez,https://www.youtube.com/@TechBudSolutions/,600000,800,40000,Monologue,en,US,Day trading and stock market education,,active
CH018,N003,Wealth Hacker - Jeff Rose,https://www.youtube.com/channel/UCkNgKCu9062P0CPyVoBI5sQ/,300000,400,30000,Monologue,en,US,Investing and wealth building strategies,,active
CH019,N003,BiggerPockets,https://www.youtube.com/@biggerpockets/,1200000,1500,50000,Monologue/Interview,en,US,Real estate investing education and community,,active
CH020,N003,Michael Kitces,https://www.youtube.com/@MichaelKitces/,100000,300,10000,Monologue,en,US,Financial planning deep dives for advisors,,active
CH021,N009,AI Explained,https://www.youtube.com/@aiexplained-official/,600000,200,200000,Monologue,en,US,Breaking down AI developments with clarity and depth,,active
CH022,N009,Wes Roth,https://www.youtube.com/@WesRoth/,500000,400,100000,Monologue,en,US,Fast-paced AI commentary and industry analysis,,active
CH023,N009,Matthew Berman,https://www.youtube.com/@matthew_berman/,400000,400,80000,Monologue,en,US,AI tools demos and LLM model comparisons,,active
CH024,N009,Matt Wolfe,https://www.youtube.com/@mreflow/,800000,400,150000,Monologue,en,US,AI tools roundups and practical AI tutorials,,active
CH025,N009,David Shapiro,https://www.youtube.com/@DaveShap/,250000,500,30000,Monologue,en,US,AI philosophy and AGI discussion and commentary,,active
CH026,N010,Two Minute Papers,https://www.youtube.com/@TwoMinutePapers/,1500000,700,200000,Monologue,en,HU,ML research paper breakdowns in accessible format,,active
